,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
60,Mosquera,4.7059,-74.2302,55.49,76,20,6.91,CO,1660789885
61,Bengkulu,-3.8004,102.2655,81.77,72,60,3.87,ID,1660789712
62,Zhangye,38.9342,100.4517,66.63,45,100,10.87,CN,1660789890
63,Atuona,-9.8,-139.0333,77.23,72,12,21.74,PF,1660789893
64,Haines Junction,60.7522,-137.5108,64.35,34,17,12.66,CA,1660789895
65,Ternate,0.8,127.4,77.67,86,100,3.33,ID,1660789898
66,Vao,-22.6667,167.4833,61.79,88,100,10.65,NC,1660789900
67,Hilo,19.7297,-155.09,82.27,84,40,8.05,US,1660789902
68,Ponta do Sol,32.6667,-17.1,71.01,64,24,7.58,PT,1660789905
69,High Prairie,55.4334,-116.4858,67.6,60,24,3.22,CA,1660789907
70,Saint-Pierre,-21.3393,55.4781,65.88,62,0,6.91,RE,1660789910
71,Hay River,60.8156,-115.7999,73.38,56,20,10.36,CA,1660789912
72,samusu,,,,,,,,
73,Caravelas,-17.7125,-39.2481,70.25,84,41,9.62,BR,1660789915
74,taolanaro,,,,,,,,
75,Charters Towers,-20.1,146.2667,75.4,20,13,11.74,AU,1660789918
76,Montepuez,-13.1256,38.9997,62.71,94,58,3.09,MZ,1660789920
77,Mataura,-46.1927,168.8643,50.88,97,100,2.73,NZ,1660789923
78,Torbay,47.6666,-52.7314,62.76,97,100,18.41,CA,1660789925
79,Banikoara,11.2985,2.4386,70.81,91,17,3.27,BJ,1660789928
80,Bundaberg,-24.85,152.35,69.75,39,0,2.91,AU,1660789930
81,belushya guba,,,,,,,,
82,Mazatlán,23.2167,-106.4167,84.02,86,100,1.01,MX,1660789870
83,Hithadhoo,-0.6,73.0833,81.73,76,100,11.77,MV,1660789935
84,Tuktoyaktuk,69.4541,-133.0374,60.8,82,100,17.27,CA,1660789938
85,Leningradskiy,69.3833,178.4167,40.1,79,24,11.45,RU,1660789758
86,Prince Rupert,54.3161,-130.3201,69.89,79,0,8.05,CA,1660789942
87,Izhma,65.0083,53.9113,54.77,58,20,6.51,RU,1660789945
88,Moyale,3.5167,39.0584,64.51,74,92,10.4,KE,1660789947
89,Upernavik,72.7868,-56.1549,40.5,96,100,8.14,GL,1660789950
90,Bluff,-46.6,168.3333,50.23,95,100,8.12,NZ,1660789952
91,Alihe,50.5667,123.7167,73.22,35,31,8.43,CN,1660789955
92,Thompson,55.7435,-97.8558,71.76,73,75,4.61,CA,1660789781
93,Kalutara,6.5831,79.9593,81.77,72,98,7.99,LK,1660789959
94,Hofn,64.2539,-15.2082,49.51,84,100,6.33,IS,1660789962
95,Bilma,18.6853,12.9164,88.36,17,3,7.11,NE,1660789964
96,Matara,5.9485,80.5353,81.95,72,88,10.78,LK,1660789967
97,Poum,-20.2333,164.0167,69.89,64,2,13.76,NC,1660789969
98,Port Alfred,-33.5906,26.891,55.18,81,5,3,ZA,1660789972
99,George Town,5.4112,100.3354,85.95,73,20,6.91,MY,1660789763
100,Margate,51.3813,1.3862,64.69,92,13,1.99,GB,1660789977
101,Inhambane,-23.865,35.3833,64.29,84,4,12.86,MZ,1660789979
102,Tasiilaq,65.6145,-37.6368,44.76,70,100,4.88,GL,1660789707
103,Laas,46.6166,10.7002,57.69,91,10,3.06,IT,1660789984
104,Caorle,45.5966,12.8758,73.36,87,4,6.33,IT,1660789986
105,Vila Franca do Campo,37.7167,-25.4333,72.19,72,89,6.15,PT,1660789989
106,mogochin,,,,,,,,
107,Constitución,-35.3333,-72.4167,44.38,79,0,9.26,CL,1660789991
108,Kavieng,-2.5744,150.7967,84.52,68,79,13.71,PG,1660789994
109,City of San Pedro,14.35,121.0167,85.23,70,75,10.36,PH,1660789996
110,Guánica,17.9716,-66.908,80.91,93,61,4.99,PR,1660789999
111,gijon,,,,,,,,
112,Lavrentiya,65.5833,-171,41.41,70,100,13,RU,1660789715
113,Butaritari,3.0707,172.7902,81.95,64,100,12.46,KI,1660790004
114,Kushmurun,52.4503,64.6311,54.05,70,100,10.16,KZ,1660790006
115,Mafinga,-7.25,35.0667,61.65,65,3,2.04,TZ,1660790008
116,Banjar,-8.19,114.9675,86.85,62,39,1.54,ID,1660790011
117,Tataouine,32.9297,10.4518,90.59,19,2,8.7,TN,1660790013
118,Lagoa,39.05,-27.9833,70.61,70,100,8.46,PT,1660790016
119,Faanui,-16.4833,-151.75,69.76,85,100,6.98,PF,1660790018
120,Longyearbyen,78.2186,15.6401,44.44,76,40,10.36,SJ,1660789833
121,Cidreira,-30.1811,-50.2056,60.91,93,100,6.98,BR,1660790023
122,Nanortalik,60.1432,-45.2371,39.7,90,44,10.29,GL,1660789786
123,Yangi Marg`ilon,40.4272,71.7189,75.92,35,0,4.61,UZ,1660790028
124,Juan Lacaze,-34.4342,-57.4381,44.11,43,59,20.45,UY,1660790031
125,Roman,46.9167,26.9167,68.07,89,18,6.26,RO,1660790034
126,Mehamn,71.0357,27.8492,48.15,93,75,6.91,NO,1660790036
127,Carutapera,-1.195,-46.02,77.31,84,10,7.27,BR,1660790038
128,Bonavista,48.6499,-53.1147,60.8,88,100,20.15,CA,1660790041
129,Marawi,7.9986,124.2928,78.15,71,100,4.12,PH,1660790043
130,Russkiy,43.0147,131.8642,76.86,86,3,12.12,RU,1660790046
131,Penedo,-10.2903,-36.5864,69.94,90,86,7.23,BR,1660789818
132,Dikson,73.5069,80.5464,40.87,78,100,9.44,RU,1660790051
133,Chui,-33.6971,-53.4616,48.61,86,37,13.47,UY,1660790053
134,amderma,,,,,,,,
135,Pevek,69.7008,170.3133,41.43,67,21,5.57,RU,1660789830
136,Busselton,-33.65,115.3333,57.25,67,63,8.19,AU,1660790058
137,Pimentel,-6.8367,-79.9342,61.75,85,28,13.33,PE,1660790060
138,Saskylakh,71.9167,114.0833,44.01,81,100,15.08,RU,1660790063
139,Koróni,36.8,21.95,80.08,60,0,7.16,GR,1660790065
140,Puerto Quijarro,-17.7833,-57.7667,88.39,37,73,9.75,BO,1660790068
141,Aurora,39.7294,-104.8319,75.72,43,40,6.91,US,1660789798
142,Lamlash,55.5336,-5.1296,57.16,92,100,13.78,GB,1660790072
143,Kirakira,-10.4544,161.9205,84.45,63,27,3.62,SB,1660790075
144,Balkanabat,39.5108,54.3671,81.64,19,0,9.28,TM,1660790077
145,Ürümqi,43.801,87.6005,70.75,27,0,2.24,CN,1660790080
146,Bredasdorp,-34.5322,20.0403,49.91,94,34,9.1,ZA,1660790082
147,Faya,18.3851,42.4509,64.51,80,45,3.51,SA,1660790084
148,Beian,63.6559,9.5683,48,87,20,8.05,NO,1660790087
149,Lompoc,34.6391,-120.4579,70.79,91,40,8.05,US,1660789925
150,Nikolskoye,59.7035,30.7861,67.8,76,52,4.27,RU,1660790091
151,Lorengau,-2.0226,147.2712,84.13,72,52,12.44,PG,1660790094
152,Yulara,-25.2406,130.9889,77.88,32,0,19.42,AU,1660790096
153,Dhidhdhoo,6.8833,73.1,81.46,74,81,7.18,MV,1660790099
154,São Pedro do Piauí,-5.9294,-42.7186,73.38,53,50,6.08,BR,1660790101
155,Mar del Plata,-38.0023,-57.5575,42.94,70,0,5.99,AR,1660790104
156,New Norfolk,-42.7826,147.0587,59.72,79,100,3,AU,1660790106
157,São Filipe,14.8961,-24.4956,78.31,76,76,6.6,CV,1660790109
158,San Javier,37.8063,-0.8374,76.98,74,0,4,ES,1660789990
159,Adrar,20.5022,-10.0711,91.87,34,39,6.08,MR,1660790113
160,Tiznit Province,29.5833,-9.5,69.42,59,0,2.53,MA,1660790116
161,Daru,-9.0763,143.2092,78.01,66,59,12.01,PG,1660790118
162,Constantine,36.365,6.6147,78.21,38,0,4.61,DZ,1660790121
163,zhuhai,,,,,,,,
164,Dali,25.7,100.1833,73.92,68,38,3.02,CN,1660790123
165,Tiksi,71.6872,128.8694,45.46,84,21,13.06,RU,1660790126
166,Mitsamiouli,-11.3847,43.2844,74.52,79,22,7.85,KM,1660790128
167,Katsuura,35.1333,140.3,80.62,83,100,28.36,JP,1660790131
168,Ribeira Grande,38.5167,-28.7,71.56,64,43,4.99,PT,1660790133
169,Beringovskiy,63.05,179.3167,46.04,69,56,6.38,RU,1660790136
170,Castro,-24.7911,-50.0119,59.31,88,100,10.2,BR,1660790138
171,Tuatapere,-46.1333,167.6833,52.2,96,100,3.09,NZ,1660790141
172,Lüderitz,-26.6481,15.1594,56.48,84,53,9.46,NA,1660790143
173,Antofagasta,-23.65,-70.4,54.68,78,26,7.05,CL,1660789932
174,Wasilla,61.5814,-149.4394,57.18,71,75,14.97,US,1660790148
175,Dickson,36.077,-87.3878,72.55,84,40,0,US,1660789995
176,Ilulissat,69.2167,-51.1,39.22,100,100,6.91,GL,1660790152
177,Katherine,-14.4667,132.2667,82.72,15,9,9.22,AU,1660790155
178,Nyurba,63.2842,118.3319,52.79,96,100,3.8,RU,1660790157
179,Cockburn Town,21.4612,-71.1419,82.89,76,44,16.46,TC,1660790160
180,Anadyr,64.75,177.4833,55.9,58,40,8.95,RU,1660790162
181,Terra Santa,-2.1042,-56.4869,78.78,53,11,2.8,BR,1660790165
182,Cabedelo,-6.9811,-34.8339,74.07,77,77,14.34,BR,1660790167
183,Talnakh,69.4865,88.3972,51.21,52,16,17.31,RU,1660790170
184,Sur,22.5667,59.5289,90,55,70,3.96,OM,1660790173
185,Mizusawa,39.1333,141.1333,71.92,98,100,0.83,JP,1660790175
186,Salalah,17.0151,54.0924,75.29,100,100,6.91,OM,1660789945
187,longlac,,,,,,,,
188,São José da Coroa Grande,-8.8978,-35.1478,74.14,82,49,14.7,BR,1660790180
189,Te Anau,-45.4167,167.7167,48.99,99,100,2.51,NZ,1660790183
190,Ruthin,53.1137,-3.3178,61.32,87,100,4.34,GB,1660790185
191,Cabra,37.4725,-4.4421,64.89,58,0,1.07,ES,1660790187
192,Bandarbeyla,9.4942,50.8122,76.82,75,92,24.85,SO,1660790190
193,Brae,60.3964,-1.353,49.77,76,76,11.54,GB,1660790192
194,Arrecife,28.963,-13.5477,71.58,73,20,13.8,ES,1660790195
195,Gribanovskiy,51.4579,41.9764,73,39,77,16.33,RU,1660790197
196,Pisco,-13.7,-76.2167,60.85,82,75,8.05,PE,1660789838
197,Isangel,-19.55,169.2667,71.69,86,100,16.4,VU,1660789770
198,barentsburg,,,,,,,,
199,Honningsvåg,70.9821,25.9704,47.95,87,100,16.11,NO,1660790204
200,Kieta,-6.2167,155.6333,83.08,75,21,7.27,PG,1660790207
201,Santiago del Estero,-27.7951,-64.2615,56.37,19,56,13.96,AR,1660790209
202,La Ronge,55.1001,-105.2842,66.45,72,40,2.3,CA,1660790212
203,Inuvik,68.3499,-133.7218,72.46,53,75,9.22,CA,1660789974
204,Haradok,55.4624,29.9816,62.71,76,40,6.46,BY,1660790216
205,Pochutla,15.7432,-96.4661,80.42,94,99,3.22,MX,1660790219
206,Henties Bay,-22.116,14.2845,52.83,90,0,9.46,NA,1660790221
207,Nome,64.5011,-165.4064,53.67,59,100,6.91,US,1660790224
208,Norheimsund,60.3709,6.1456,54.23,90,10,2.64,NO,1660790226
209,Kruisfontein,-34.0033,24.7314,52.88,84,1,13.42,ZA,1660789749
210,São Gabriel da Cachoeira,-0.1303,-67.0892,77.31,81,93,0.56,BR,1660790231
211,Sambava,-14.2667,50.1667,64.9,88,17,8.01,MG,1660789797
212,Sioux Lookout,50.1001,-91.917,68.07,94,75,4.61,CA,1660790236
213,Jining,35.405,116.5814,86.81,75,91,13.18,CN,1660790238
214,Itarema,-2.9248,-39.9167,77.86,83,54,16.6,BR,1660790241
215,Panama City,8.9936,-79.5197,81.18,79,20,6.91,PA,1660790243
216,venado tuerto,,,,,,,,
217,Gairo,39.8497,9.5047,74.17,54,98,2.91,IT,1660790091
218,Bathsheba,13.2167,-59.5167,81.21,83,20,12.66,BB,1660790248
219,Qaanaaq,77.484,-69.3632,36.07,79,99,1.12,GL,1660789722
220,Kaeo,-35.1,173.7833,64.33,97,100,21.61,NZ,1660789779
221,Los Llanos de Aridane,28.6585,-17.9182,67.75,74,75,14.97,ES,1660790255
222,Chiclana,-35.7346,-61.7503,39.15,60,2,9.33,AR,1660790257
223,Termez,37.2242,67.2783,77.09,38,0,0,UZ,1660790260
224,Maturin,9.75,-63.1767,73.38,88,5,5.12,VE,1660790262
225,Zyryanka,65.75,150.85,62.13,61,88,14.5,RU,1660789892
226,Egvekinot,66.3167,-179.1667,47.28,53,89,3.31,RU,1660789919
227,khonuu,,,,,,,,
228,Popondetta,-8.7537,148.2534,86.52,54,69,5.88,PG,1660790269
229,Omboué,-1.5746,9.2618,73.2,88,97,5.23,GA,1660790271
230,nizhneyansk,,,,,,,,
231,Khor,47.8861,134.9464,80.02,52,1,8.25,RU,1660790274
232,Sri Aman,1.2376,111.4621,84.25,74,20,3.44,MY,1660790277
233,Avarua,-21.2078,-159.775,71.65,64,75,13.8,CK,1660789716
234,Stykkisholmur,65.0757,-22.7297,49.12,85,99,5.3,IS,1660790281
235,Astoria,46.1879,-123.8313,75.09,60,0,9.22,US,1660790284
236,Bodden Town,19.2833,-81.25,84.92,84,20,8.05,KY,1660790287
237,Ilhabela,-23.7781,-45.3581,70.66,80,97,8.14,BR,1660790289
238,Saint Paul Harbor,57.79,-152.4072,60.31,67,100,9.22,US,1660789842
239,Coahuayana Viejo,18.7333,-103.6833,79.86,83,100,1.74,MX,1660790294
240,Cabo San Lucas,22.8909,-109.9124,84.51,79,75,0,MX,1660790256
241,Bukama,-9.2,25.85,69.22,34,26,3.71,CD,1660790299
242,Conakry,9.538,-13.6773,78.87,89,75,6.91,GN,1660790301
243,Nizwá,22.9333,57.5333,88.43,44,72,4.23,OM,1660790304
244,Asău,46.4333,26.4,60.28,93,7,3.76,RO,1660789862
245,Morón,-34.6534,-58.6198,49.96,50,34,6.67,AR,1660790308
246,Zaragoza,41.6561,-0.8773,67.01,58,0,20.71,ES,1660789776
247,Palāsa,18.7667,84.4167,87.03,68,92,3.6,IN,1660790313
248,Xining,36.6167,101.7667,67.28,84,100,3.38,CN,1660790315
249,Souillac,-20.5167,57.5167,64.78,94,75,3.44,MU,1660789832
250,Bam,29.106,58.357,83.73,14,23,15.41,IR,1660790320
251,marcona,,,,,,,,
252,Wanaka,-44.7,169.15,48.11,96,100,1.99,NZ,1660790323
253,Östersund,63.1792,14.6357,45.61,93,100,4.61,SE,1660790325
254,Bukachacha,52.9833,116.9167,65.44,35,34,7.7,RU,1660790328
255,Mayo,38.8876,-76.5119,69.26,92,0,4.61,US,1660789781
256,Agüimes,27.9054,-15.4461,70.66,68,40,20.71,ES,1660789842
257,Deputatsky,69.3,139.9,49.23,71,100,5.77,RU,1660790301
258,Nioro,13.35,-15.75,73.02,96,100,4.45,GM,1660789854
259,Gaza,31.5,34.4667,72.88,74,0,1.7,PS,1660790135
260,Samoylovka,51.184,43.7081,75.76,31,79,18.61,RU,1660790341
261,Labuhan,-6.8844,112.2051,83.93,61,18,4.56,ID,1660790308
262,Clyde River,70.4692,-68.5914,39.43,100,100,0,CA,1660790346
263,Nouadhibou,20.931,-17.0347,73.38,78,5,19.57,MR,1660789769
264,palabuhanratu,,,,,,,,
265,paradwip,,,,,,,,
266,warqla,,,,,,,,
267,Champasak,14.75,106,79.68,73,100,2.71,LA,1660790351
268,Iqaluit,63.7506,-68.5145,40.73,100,100,4.61,CA,1660789871
269,Sola,-13.8833,167.55,80.15,73,10,3.51,VU,1660790356
270,Hong Kong,22.2855,114.1577,87.04,87,95,8.99,HK,1660790181
271,Kavaratti,10.5669,72.642,81.36,76,30,10.4,IN,1660789898
272,Gua Musang,4.8823,101.9644,83.28,76,88,1.03,MY,1660790363
273,samarai,,,,,,,,
274,Sawtell,-30.3833,153.1,71.19,45,8,12.66,AU,1660790366
275,Gaillac,43.9016,1.8969,65.35,97,47,6.76,FR,1660790368
276,Yerofey Pavlovich,53.9667,121.9667,63.9,61,79,7.02,RU,1660790371
277,Catazaja,17.725,-92.0167,79.81,73,100,7.83,MX,1660790373
278,Kununurra,-15.7667,128.7333,87.78,8,4,9.22,AU,1660790174
279,Visnes,59.3556,5.2242,54.21,87,75,3.44,NO,1660790378
280,Gualeguay,-33.1416,-59.3097,43.52,47,82,8.5,AR,1660790380
281,Saint George,37.1041,-113.5841,87.64,44,0,4,US,1660790152
282,Fairbanks,64.8378,-147.7164,73.74,44,40,6.91,US,1660789605
283,Half Moon Bay,37.4636,-122.4286,82.58,83,100,19.57,US,1660790387
284,Tolbazy,54.0241,55.8825,59.95,63,48,8.08,RU,1660790390
285,Havøysund,70.9963,24.6622,48.43,83,100,18.3,NO,1660790392
286,Dalbandin,28.8947,64.4101,88.57,18,87,3.15,PK,1660790395
287,Foz,43.5692,-7.2544,59.79,83,100,3.51,ES,1660790397
288,sentyabrskiy,,,,,,,,
289,Hopelchén,19.7667,-89.85,82.2,49,82,3.4,MX,1660790400
290,Tarakan,3.3,117.6333,80.1,78,75,3.44,ID,1660790402
291,Pedro Carbo,-1.8333,-80.2333,71.22,82,100,4.27,EC,1660790405
292,Bria,6.5423,21.9863,67.77,99,100,1.19,CF,1660790408
293,Dongsheng,39.8161,109.9776,66.92,90,100,5.14,CN,1660789918
294,Penzance,50.1186,-5.5371,59.68,76,100,9.86,GB,1660790412
295,San Vicente,-26.6167,-54.1333,58.78,98,100,5.01,AR,1660790415
296,Barrow,71.2906,-156.7887,37.42,93,100,21.85,US,1660790417
297,Kibala,9.1104,18.3463,69.15,98,100,3.51,TD,1660789834
298,kamenskoye,,,,,,,,
299,Vila Velha,-20.3297,-40.2925,73.35,85,75,10.36,BR,1660790422
300,Avon Park,27.5959,-81.5062,80.53,85,15,5.41,US,1660790375
301,Barra de Tecoanapa,16.5167,-98.75,80.89,80,100,3.69,MX,1660790427
302,North Branford,41.3276,-72.7673,69.66,89,100,1.99,US,1660790429
303,lolua,,,,,,,,
304,Kismayo,-0.3582,42.5454,73.54,79,72,13.51,SO,1660790432
305,Talcahuano,-36.7167,-73.1167,44.28,93,0,4.61,CL,1660790434
306,Along,28.1667,94.7667,84.87,75,100,0.74,IN,1660790437
307,cheuskiny,,,,,,,,
308,Rawson,-43.3002,-65.1023,40.69,59,0,13.24,AR,1660790439
309,Novouzensk,50.4592,48.1431,79.99,29,100,22.08,RU,1660790442
310,tungkang,,,,,,,,
311,Tazovsky,67.4667,78.7,53.47,68,10,13.82,RU,1660790444
312,Kamenka,51.3223,42.7678,74.12,37,100,18.45,RU,1660789876
313,San Felipe,10.3399,-68.7425,71.13,95,13,1.9,VE,1660790449
314,saleaula,,,,,,,,
315,Jinchang,38.4953,102.1739,70.21,37,99,20.4,CN,1660790290
316,Nicoya,10.1483,-85.452,75.2,93,89,2.71,CR,1660790454
317,Arica,-18.475,-70.3042,57.43,77,100,3.44,CL,1660790233
318,Porto-Novo,6.4965,2.6036,71.8,86,69,4.27,BJ,1660790261
319,Jadu,31.953,12.0261,82.94,25,10,17.92,LY,1660790461
320,Carnarvon,-24.8667,113.6333,63.5,50,52,18.57,AU,1660789928
321,Madimba,-10.4,40.3333,69.35,90,72,4.7,TZ,1660790466
322,Norman Wells,65.282,-126.8329,80.64,39,75,11.5,CA,1660790468
323,Port Moresby,-9.4431,147.1797,83.62,58,40,17.27,PG,1660790196
324,Marfino,55.7028,37.3822,67.95,62,0,4.47,RU,1660790473
325,Lodja,-3.4833,23.4333,69.66,94,97,2.86,CD,1660790475
326,Flinders,-34.5833,150.8552,67.37,61,100,4,AU,1660790478
327,Severo-Kuril'sk,50.6789,156.125,56.23,91,74,12.77,RU,1660790480
328,Ardabil,38.2498,48.2933,49.55,71,20,4.61,IR,1660790483
329,Hualmay,-11.0964,-77.6139,60.82,83,53,7.47,PE,1660790485
330,sarkand,,,,,,,,
331,Lewiston,44.1003,-70.2148,61.14,97,100,6.91,US,1660790488
332,Altay,47.8667,88.1167,60.84,24,0,5.26,CN,1660790490
333,Saint-Paul,-21.0096,55.2707,66.31,72,0,2.04,RE,1660790493
334,Atbasar,51.8,68.3333,55.22,52,94,13.35,KZ,1660789944
335,Dingle,10.9995,122.6711,82.47,78,99,2.8,PH,1660790497
336,Oistins,13.0667,-59.5333,80.69,83,20,12.66,BB,1660790500
337,Coquimbo,-29.9533,-71.3436,53.33,87,0,4.61,CL,1660790309
338,Vardø,70.3705,31.1107,49.98,93,100,18.41,NO,1660789909
339,Kloulklubed,7.0419,134.2556,81.1,79,100,17.98,PW,1660790081
340,Coyhaique,-45.5752,-72.0662,36.21,75,0,1.14,CL,1660790509
341,Takoradze,4.8845,-1.7554,72.55,86,0,6.31,GH,1660790512
342,Doha,25.2867,51.5333,93.09,73,66,4.61,QA,1660790393
343,Smithers,54.7804,-127.1743,77.32,53,20,3.44,CA,1660790516
344,Nuuk,64.1835,-51.7216,39.81,100,20,9.22,GL,1660790519
345,Kalispell,48.1958,-114.3129,89.64,19,0,0,US,1660790231
346,Kargasok,59.0556,80.8572,51.6,78,99,10.8,RU,1660790523
347,Maningrida,-12.0667,134.2667,84.65,21,46,9.8,AU,1660790239
348,Roblin,51.23,-101.3565,62.37,92,74,8.93,CA,1660790528
349,Ostrovnoy,68.0531,39.5131,65.77,72,0,19.73,RU,1660790531
350,Geraldton,-28.7667,114.6,59.41,63,59,17.27,AU,1660790363
351,Setermoen,68.861,18.3486,50.43,92,91,3.6,NO,1660790535
352,Guerrero Negro,27.9769,-114.0611,73.87,77,100,15.01,MX,1660790538
353,Opuwo,-18.0607,13.84,59.2,33,6,5.32,NA,1660790540
354,Ozernovskiy,51.5,156.5167,53.28,99,98,11.21,RU,1660790543
355,Eureka,40.8021,-124.1637,62.19,89,44,5.01,US,1660790545
356,Bahía Blanca,-38.7196,-62.2724,40.37,53,37,9.69,AR,1660790271
357,Golden,39.7555,-105.2211,73.89,46,0,1.99,US,1660790320
358,Camaçari,-12.6975,-38.3242,76.77,88,91,7.94,BR,1660790552
359,Barrhead,55.7992,-4.3929,58.01,87,75,3.44,GB,1660790555
360,Charlestown,-32.95,151.6667,67.01,60,96,5.99,AU,1660790557
361,Leh,34.1667,77.5833,62.62,56,2,4.88,IN,1660790292
362,Vestmannaeyjar,63.4427,-20.2734,49.3,81,100,18.9,IS,1660790562
363,attawapiskat,,,,,,,,
364,Cárdenas,23.0375,-81.2047,75.96,94,99,7.9,CU,1660790467
365,Makakilo City,21.3469,-158.0858,86.32,67,100,11.5,US,1660790567
366,Bethel,41.3712,-73.414,68.85,85,75,3.44,US,1660790361
367,Fort Frances,48.5999,-93.4003,68.16,70,0,0,CA,1660790571
368,Shiyan,32.6475,110.7781,95.65,52,95,2.77,CN,1660790574
369,Tateyama,34.9833,139.8667,80.53,89,75,17.27,JP,1660790576
370,San Quintín,30.4833,-115.95,72.32,83,6,7.54,MX,1660790579
371,maykain,,,,,,,,
372,Mvuma,-19.2792,30.5283,50.9,46,4,4.7,ZW,1660790581
373,Mayumba,-3.432,10.6554,70.21,90,18,5.41,GA,1660790584
374,Deoria,26.5047,83.7872,90.73,54,15,11.97,IN,1660790586
375,Kailua,21.4022,-157.7394,87.78,71,75,10.36,US,1660790311
376,Buraidah,26.326,43.975,86.45,14,12,8.55,SA,1660790533
377,Dossor,47.5272,52.9811,80.83,22,58,12.95,KZ,1660790593
378,port-de-paix,,,,,,,,
379,kuche,,,,,,,,
